location,year,variety,inoculum,date,dap_pred,dap,dt,myIncObs,myIncCum,canCover,cumETin,avgETin,cumSRad,avgHTR,nHrST25.35,nHrST25.30,nHrSTa30,nHrRHa80,nHrRHa85,nHrRHa90,nHrRHa80ST25.30,nHrRHa85ST25.30,nHrRHa90ST25.30,cumDRnI,avgDRnI,avgRH,avgST,avgSTmin,avgSTmx,avgGWET,cumGWET,nDaysGWET
LiveOak,2020,GA06G,Scl1,08/19/2020,0,96,14,21.25,58.75,1,189.992,4.523619048,75340.02,3.063420882,332,192,145,273,244,219,182,168,155,106.172,7.583714286,90.5922619,29.91151786,29.74294643,30.08116071,0.423571429,5.93,1
LiveOak,2020,GA06G,Scl1,09/02/2020,0,110,14,15,63.75,1,150.622,3.586238095,61605.05,3.550433112,268,233,35,318,292,263,224,206,183,77.978,5.569857143,94.8125,26.96184524,26.81464286,27.10919643,0.525714286,7.36,10
LiveOak,2020,GA06G,Scl1,09/22/2020,1,130,20,0,63.75,1,134.112,3.193142857,54978.67,3.414378611,294,238,56,287,269,251,211,195,183,67.31,4.807857143,93.04761905,27.5758631,27.44029762,27.71258929,0.543571429,7.61,9
Marianna,2019,GA06G,Scl1,07/03/2019,0,42,42,0,0,0,193.294,4.602238095,78830.98,2.658996019,325,206,131,162,129,89,158,128,89,34.036,2.431142857,76.4047619,29.45130952,29.22360119,29.68127976,0.397142857,5.56,0
Marianna,2019,GA06G,Scl1,07/12/2019,0,51,9,1.25,1.25,0,191.262,4.553857143,78603.7,2.740969636,316,193,140,191,163,120,176,154,117,28.702,2.050142857,79.13690476,29.71375,29.43455357,29.99776786,0.422857143,5.92,3
Marianna,2019,GA06G,Scl1,07/24/2019,0,63,12,22.5,23.75,0,170.18,4.051904762,65966.51,3.148416344,304,237,68,249,219,190,204,185,158,35.306,2.521857143,86.11904762,27.87610119,27.643125,28.11107143,0.492142857,6.89,6
Marianna,2019,GA06G,Scl1,08/08/2019,0,78,15,3.75,27.5,1,199.644,4.753428571,79508.19,2.846070295,289,187,118,192,173,149,152,139,118,43.434,3.102428571,80.00892857,28.96755952,28.70092262,29.23833333,0.42,5.88,3
Marianna,2019,GA06G,Scl1,08/23/2019,0,93,15,32.5,47.5,1,175.26,4.172857143,73802.16,3.055085761,333,211,122,252,216,192,207,195,181,28.702,2.050142857,88.0297619,29.21827381,29.02455357,29.41520833,0.449285714,6.29,2
Marianna,2019,GA06G,Scl1,09/05/2019,0,106,13,18.75,56.25,1,152.908,3.640666667,59782.99,3.306670669,325,304,21,279,251,214,261,238,202,24.638,1.759857143,90.03571429,27.44425595,27.31309524,27.57440476,0.512142857,7.17,8
Marianna,2019,GA06G,Scl1,09/20/2019,1,121,15,6.25,60,1,172.974,4.118428571,75033.76,2.845338116,336,249,89,197,175,149,193,173,149,72.644,5.188857143,80.63690476,28.69943452,28.56657738,28.83220238,0.366428571,5.13,0
Marianna,2019,GA06G,Scl1,10/02/2019,1,133,12,6.25,63.75,1,157.734,3.755571429,68340.09,2.746496727,336,265,71,185,157,121,183,157,121,108.966,7.783285714,77.72916667,28.6353869,28.51485119,28.7552381,0.286428571,4.01,0
Marianna,2020,GA06G,Scl1,07/09/2020,0,44,44,1.25,1.25,0,188.722,4.493380952,86902.61,2.877090339,319,226,100,207,168,135,174,143,114,32.004,2.286,81.44642857,28.87047619,28.65616071,29.08434524,0.421428571,5.9,2
Marianna,2020,GA06G,Scl1,07/24/2020,0,59,15,1.25,2.5,0,196.596,4.680857143,90531.4,3.189610675,318,242,76,248,213,182,216,191,162,64.77,4.626428571,88.24107143,28.08098214,27.90583333,28.25610119,0.494285714,6.92,6
Marianna,2020,GA06G,Scl1,08/07/2020,0,73,14,5,6.25,1,189.23,4.50547619,86566.55,3.154788585,306,214,102,250,224,195,197,183,165,86.36,6.168571429,89.08630952,28.77857143,28.55300595,29.0060119,0.409285714,5.73,0
Marianna,2020,GA06G,Scl1,08/21/2020,0,87,14,13.75,18.75,1,183.896,4.37847619,87730.43,3.320950473,304,220,94,307,276,239,217,213,204,106.426,7.601857143,92.91964286,28.47872024,28.24276786,28.71479167,0.376428571,5.27,1
Marianna,2020,GA06G,Scl1,09/04/2020,0,101,14,0,18.75,1,139.192,3.314095238,61687.83,3.763600124,219,197,22,333,325,309,197,195,184,117.348,8.382,97.54166667,26.178125,26.02369048,26.33410714,0.515714286,7.22,11
Marianna,2020,GA06G,Scl1,10/19/2020,1,146,45,0,18.75,1,110.998,2.642809524,63360.3,3.571625111,51,51,0,176,146,113,8,4,3,19.05,1.360714286,77.99107143,22.30223214,22.1333631,22.47059524,0.587142857,8.22,14
Quincy,2019,GA06G,Scl1,07/03/2019,0,48,48,0,0,0,193.294,4.602238095,80719.73,3.299438428,147,147,35,195,168,139,55,44,33,62.23,4.445,82.47916667,25.6385119,25.4171131,25.86083333,0.454285714,6.36,3
Quincy,2019,GA06G,Scl1,07/11/2019,0,56,8,0,0,0,194.056,4.620380952,78067.55,3.240208516,157,157,63,213,185,162,94,73,56,115.824,8.273142857,84.54761905,26.74946429,26.50002976,27.00095238,0.437142857,6.12,1
Quincy,2019,GA06G,Scl1,08/16/2019,0,92,36,12.5,12.5,1,184.15,4.38452381,78049.98,3.562404344,201,201,10,311,266,219,178,138,96,28.956,2.068285714,91.42857143,25.95297619,25.77360119,26.13258929,0.486428571,6.81,4
Quincy,2019,GA06G,Scl1,09/06/2019,0,113,21,0,12.5,1,155.194,3.695095238,64565.71,3.942591205,107,107,0,333,306,274,104,79,50,59.69,4.263571429,94.69345238,24.21660714,24.06866071,24.3647619,0.584285714,8.18,14
Quincy,2019,GA06G,Scl1,09/19/2019,1,126,13,0,12.5,1,172.466,4.106333333,77399.57,3.662812017,160,160,0,297,269,224,121,95,57,30.48,2.177142857,90.74702381,25.0697619,24.89595238,25.24404762,0.456428571,6.39,3
Quincy,2019,GA06G,Scl1,10/01/2019,1,138,12,0,12.5,1,158.75,3.779761905,73516.65,3.509742907,162,162,0,245,222,186,80,59,35,2.794,0.199571429,86.47321429,25.05348214,24.8572619,25.25008929,0.349285714,4.89,0
Quincy,2020,GA06G,Scl1,07/12/2020,0,58,58,6.25,6.25,0,174.244,4.148666667,68415.26,3.641803375,117,117,0,239,216,194,49,36,25,111.252,7.946571429,87.22321429,24.3103869,24.135,24.48761905,0.492142857,6.89,5
Quincy,2020,GA06G,Scl1,07/23/2020,0,69,11,3.75,10,0,189.992,4.523619048,75090.08,3.589677313,131,131,17,246,213,186,69,50,38,52.578,3.755571429,88.19642857,25.00895833,24.81723214,25.20270833,0.522142857,7.31,9
Quincy,2020,GA06G,Scl1,08/06/2020,0,83,14,11.25,20,1,189.484,4.51152381,73640.9,3.710683556,135,135,27,316,282,236,123,101,77,70.866,5.061857143,92.66666667,25.3916369,25.18125,25.60270833,0.483571429,6.77,6
Quincy,2020,GA06G,Scl1,08/20/2020,0,97,14,47.5,55,1,185.166,4.408714286,75402.87,3.568699217,186,186,56,335,320,272,186,179,158,45.466,3.247571429,94.5952381,26.91714286,26.68479167,27.15095238,0.448571429,6.28,5
Quincy,2020,GA06G,Scl1,09/03/2020,0,111,14,2.5,57.5,1,145.542,3.465285714,51306.52,4.067520379,82,82,20,336,315,296,82,69,58,110.236,7.874,96.41964286,24.09633929,23.93154762,24.2614881,0.577857143,8.09,11
Quincy,2020,GA06G,Scl1,09/21/2020,1,129,18,0,57.5,1,141.478,3.36852381,54299.46,4.038563105,92,92,0,308,279,256,72,57,44,305.308,21.80771429,93.91071429,23.58154762,23.43464286,23.72877976,0.604285714,8.46,14
