Location,lat,long,year,plot,block,variety,inoculum,dap,dt,inc_germ,inc_germ_new,inc_germ_cum,date,inc_all4,inc_all4_new,inc_all4_cum,sy_inc,syinc_new,syinc_cum,germ_dy/dt,sy_dy/dt,can_cover
Live Oak,30.306,-82.901,2019,103,1,GA06G,Grn1,119,14,25,5,75,9/18/2019,75,0,85,75,0,85,0.357142857,0,
Live Oak,30.306,-82.901,2019,104,1,GA06G,Control,44,44,0,0,0,7/5/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,104,1,GA06G,Control,49,5,0,0,0,7/10/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,104,1,GA06G,Control,63,14,0,0,0,7/24/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,104,1,GA06G,Control,79,16,0,0,0,8/9/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,104,1,GA06G,Control,92,13,0,0,0,8/22/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,104,1,GA06G,Control,105,13,0,0,0,9/4/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,104,1,GA06G,Control,119,14,0,0,0,9/18/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,105,1,GA06G,Grn2,44,44,0,0,0,7/5/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,105,1,GA06G,Grn2,49,5,10,10,10,7/10/2019,20,20,20,10,10,10,2,2,
Live Oak,30.306,-82.901,2019,105,1,GA06G,Grn2,63,14,60,55,65,7/24/2019,65,55,75,45,40,50,3.928571429,2.857142857,
Live Oak,30.306,-82.901,2019,105,1,GA06G,Grn2,79,16,40,15,80,8/9/2019,65,25,100,65,35,85,0.9375,2.1875,
Live Oak,30.306,-82.901,2019,105,1,GA06G,Grn2,92,13,5,0,80,8/22/2019,40,0,100,40,10,95,0,0.769230769,
Live Oak,30.306,-82.901,2019,105,1,GA06G,Grn2,105,13,20,0,80,9/4/2019,55,0,100,55,5,100,0,0.384615385,
Live Oak,30.306,-82.901,2019,105,1,GA06G,Grn2,119,14,0,0,80,9/18/2019,85,0,100,85,0,100,0,0,
Live Oak,30.306,-82.901,2019,106,1,GA06G,Grn control,44,44,0,0,0,7/5/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,106,1,GA06G,Grn control,49,5,0,0,0,7/10/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,106,1,GA06G,Grn control,63,14,0,0,0,7/24/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,106,1,GA06G,Grn control,79,16,0,0,0,8/9/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,106,1,GA06G,Grn control,92,13,0,0,0,8/22/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,106,1,GA06G,Grn control,105,13,0,0,0,9/4/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,106,1,GA06G,Grn control,119,14,0,0,0,9/18/2019,10,10,10,10,10,10,0,0.714285714,
Live Oak,30.306,-82.901,2019,107,1,GA06G,Grn3,44,44,15,15,15,7/5/2019,25,25,25,25,25,25,0.340909091,0.568181818,
Live Oak,30.306,-82.901,2019,107,1,GA06G,Grn3,49,5,0,0,15,7/10/2019,20,5,30,20,5,30,0,1,
Live Oak,30.306,-82.901,2019,107,1,GA06G,Grn3,63,14,5,5,20,7/24/2019,20,20,50,20,20,50,0.357142857,1.428571429,
Live Oak,30.306,-82.901,2019,107,1,GA06G,Grn3,79,16,55,40,60,8/9/2019,65,25,75,65,25,75,2.5,1.5625,
Live Oak,30.306,-82.901,2019,107,1,GA06G,Grn3,92,13,0,0,60,8/22/2019,10,0,75,10,0,75,0,0,
Live Oak,30.306,-82.901,2019,107,1,GA06G,Grn3,105,13,10,5,65,9/4/2019,10,0,75,10,0,75,0.384615385,0,
Live Oak,30.306,-82.901,2019,107,1,GA06G,Grn3,119,14,0,0,65,9/18/2019,40,15,90,40,15,90,0,1.071428571,
Live Oak,30.306,-82.901,2019,108,1,GA06G,Scl3,44,44,0,0,0,7/5/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,108,1,GA06G,Scl3,49,5,0,0,0,7/10/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,108,1,GA06G,Scl3,63,14,0,0,0,7/24/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,108,1,GA06G,Scl3,79,16,0,0,0,8/9/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,108,1,GA06G,Scl3,92,13,0,0,0,8/22/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,108,1,GA06G,Scl3,105,13,0,0,0,9/4/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,108,1,GA06G,Scl3,119,14,0,0,0,9/18/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,109,1,TUF297,Grn control,44,44,0,0,0,7/5/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,109,1,TUF297,Grn control,49,5,0,0,0,7/10/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,109,1,TUF297,Grn control,63,14,0,0,0,7/24/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,109,1,TUF297,Grn control,79,16,0,0,0,8/9/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,109,1,TUF297,Grn control,92,13,0,0,0,8/22/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,109,1,TUF297,Grn control,105,13,0,0,0,9/4/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,109,1,TUF297,Grn control,119,14,0,0,0,9/18/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,110,1,TUF297,Scl3,44,44,0,0,0,7/5/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,110,1,TUF297,Scl3,49,5,0,0,0,7/10/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,110,1,TUF297,Scl3,63,14,0,0,0,7/24/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,110,1,TUF297,Scl3,79,16,0,0,0,8/9/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,110,1,TUF297,Scl3,92,13,0,0,0,8/22/2019,10,10,10,10,10,10,0,0.769230769,
Live Oak,30.306,-82.901,2019,110,1,TUF297,Scl3,105,13,15,15,15,9/4/2019,15,5,15,15,5,15,1.153846154,0.384615385,
Live Oak,30.306,-82.901,2019,110,1,TUF297,Scl3,119,14,5,5,20,9/18/2019,5,5,20,0,0,15,0.357142857,0,
Live Oak,30.306,-82.901,2019,111,1,TUF297,Scl1,44,44,0,0,0,7/5/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,111,1,TUF297,Scl1,49,5,0,0,0,7/10/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,111,1,TUF297,Scl1,63,14,55,55,55,7/24/2019,55,55,55,45,45,45,3.928571429,3.214285714,
Live Oak,30.306,-82.901,2019,111,1,TUF297,Scl1,79,16,5,5,60,8/9/2019,20,5,60,15,0,45,0.3125,0,
Live Oak,30.306,-82.901,2019,111,1,TUF297,Scl1,92,13,0,0,60,8/22/2019,0,0,60,0,0,45,0,0,
Live Oak,30.306,-82.901,2019,111,1,TUF297,Scl1,105,13,5,0,60,9/4/2019,5,0,60,5,5,50,0,0.384615385,
Live Oak,30.306,-82.901,2019,111,1,TUF297,Scl1,119,14,10,10,70,9/18/2019,10,10,70,10,10,60,0.714285714,0.714285714,
Live Oak,30.306,-82.901,2019,112,1,TUF297,Grn2,44,44,10,10,10,7/5/2019,10,10,10,10,10,10,0.227272727,0.227272727,
Live Oak,30.306,-82.901,2019,112,1,TUF297,Grn2,49,5,10,5,15,7/10/2019,10,5,15,0,0,10,1,0,
Live Oak,30.306,-82.901,2019,112,1,TUF297,Grn2,63,14,55,40,55,7/24/2019,55,40,55,45,35,45,2.857142857,2.5,
Live Oak,30.306,-82.901,2019,112,1,TUF297,Grn2,79,16,40,20,75,8/9/2019,40,20,75,30,15,60,1.25,0.9375,
Live Oak,30.306,-82.901,2019,112,1,TUF297,Grn2,92,13,0,0,75,8/22/2019,0,0,75,0,0,60,0,0,
Live Oak,30.306,-82.901,2019,112,1,TUF297,Grn2,105,13,25,0,75,9/4/2019,40,15,90,40,25,85,0,1.923076923,
Live Oak,30.306,-82.901,2019,112,1,TUF297,Grn2,119,14,0,0,75,9/18/2019,5,0,90,5,0,85,0,0,
Live Oak,30.306,-82.901,2019,113,1,TUF297,Grn3,44,44,5,5,5,7/5/2019,10,10,10,10,10,10,0.113636364,0.227272727,
Live Oak,30.306,-82.901,2019,113,1,TUF297,Grn3,49,5,0,0,5,7/10/2019,0,0,10,0,0,10,0,0,
Live Oak,30.306,-82.901,2019,113,1,TUF297,Grn3,63,14,25,25,30,7/24/2019,25,20,30,25,20,30,1.785714286,1.428571429,
Live Oak,30.306,-82.901,2019,113,1,TUF297,Grn3,79,16,5,5,35,8/9/2019,15,10,40,10,5,35,0.3125,0.3125,
Live Oak,30.306,-82.901,2019,113,1,TUF297,Grn3,92,13,0,0,35,8/22/2019,10,10,50,10,10,45,0,0.769230769,
Live Oak,30.306,-82.901,2019,113,1,TUF297,Grn3,105,13,0,0,35,9/4/2019,40,20,70,40,20,65,0,1.538461538,
Live Oak,30.306,-82.901,2019,113,1,TUF297,Grn3,119,14,0,0,35,9/18/2019,10,10,80,10,10,75,0,0.714285714,
Live Oak,30.306,-82.901,2019,114,1,TUF297,Grn1,44,44,0,0,0,7/5/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,114,1,TUF297,Grn1,49,5,5,5,5,7/10/2019,10,10,10,5,5,5,1,1,
Live Oak,30.306,-82.901,2019,114,1,TUF297,Grn1,63,14,55,55,60,7/24/2019,70,65,75,60,60,65,3.928571429,4.285714286,
Live Oak,30.306,-82.901,2019,114,1,TUF297,Grn1,79,16,0,0,60,8/9/2019,90,20,95,90,30,95,0,1.875,
Live Oak,30.306,-82.901,2019,114,1,TUF297,Grn1,92,13,0,0,60,8/22/2019,55,0,95,55,0,95,0,0,
Live Oak,30.306,-82.901,2019,114,1,TUF297,Grn1,105,13,25,15,75,9/4/2019,55,5,100,55,5,100,1.153846154,0.384615385,
Live Oak,30.306,-82.901,2019,114,1,TUF297,Grn1,119,14,10,10,85,9/18/2019,65,0,100,65,0,100,0.714285714,0,
Live Oak,30.306,-82.901,2019,115,1,TUF297,Control,44,44,0,0,0,7/5/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,115,1,TUF297,Control,49,5,0,0,0,7/10/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,115,1,TUF297,Control,63,14,0,0,0,7/24/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,115,1,TUF297,Control,79,16,0,0,0,8/9/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,115,1,TUF297,Control,92,13,0,0,0,8/22/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,115,1,TUF297,Control,105,13,0,0,0,9/4/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,115,1,TUF297,Control,119,14,0,0,0,9/18/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,116,1,TUF297,Scl2,44,44,0,0,0,7/5/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,116,1,TUF297,Scl2,49,5,0,0,0,7/10/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,116,1,TUF297,Scl2,63,14,5,5,5,7/24/2019,5,5,5,0,0,0,0.357142857,0,
Live Oak,30.306,-82.901,2019,116,1,TUF297,Scl2,79,16,0,0,5,8/9/2019,0,0,5,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,116,1,TUF297,Scl2,92,13,0,0,5,8/22/2019,5,5,10,5,5,5,0,0.384615385,
Live Oak,30.306,-82.901,2019,116,1,TUF297,Scl2,105,13,5,5,10,9/4/2019,10,10,20,5,5,10,0.384615385,0.384615385,
Live Oak,30.306,-82.901,2019,116,1,TUF297,Scl2,119,14,5,5,15,9/18/2019,45,45,65,45,45,55,0.357142857,3.214285714,
Live Oak,30.306,-82.901,2019,201,2,GA06G,Control,44,44,0,0,0,7/5/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,201,2,GA06G,Control,49,5,0,0,0,7/10/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,201,2,GA06G,Control,63,14,0,0,0,7/24/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,201,2,GA06G,Control,79,16,0,0,0,8/9/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,201,2,GA06G,Control,92,13,0,0,0,8/22/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,201,2,GA06G,Control,105,13,0,0,0,9/4/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,201,2,GA06G,Control,119,14,0,0,0,9/18/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,202,2,GA06G,Grn3,44,44,20,20,20,7/5/2019,30,30,30,30,30,30,0.454545455,0.681818182,
Live Oak,30.306,-82.901,2019,202,2,GA06G,Grn3,49,5,10,0,20,7/10/2019,25,10,40,25,10,40,0,2,
Live Oak,30.306,-82.901,2019,202,2,GA06G,Grn3,63,14,40,30,50,7/24/2019,65,25,65,60,20,60,2.142857143,1.428571429,
Live Oak,30.306,-82.901,2019,202,2,GA06G,Grn3,79,16,25,10,60,8/9/2019,65,15,80,65,20,80,0.625,1.25,
Live Oak,30.306,-82.901,2019,202,2,GA06G,Grn3,92,13,0,0,60,8/22/2019,35,10,90,35,10,90,0,0.769230769,
Live Oak,30.306,-82.901,2019,202,2,GA06G,Grn3,105,13,20,20,80,9/4/2019,35,5,95,35,5,95,1.538461538,0.384615385,
Live Oak,30.306,-82.901,2019,202,2,GA06G,Grn3,119,14,20,5,85,9/18/2019,65,5,100,65,5,100,0.357142857,0.357142857,
Live Oak,30.306,-82.901,2019,203,2,GA06G,Grn control,44,44,0,0,0,7/5/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,203,2,GA06G,Grn control,49,5,0,0,0,7/10/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,203,2,GA06G,Grn control,63,14,0,0,0,7/24/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,203,2,GA06G,Grn control,79,16,0,0,0,8/9/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,203,2,GA06G,Grn control,92,13,0,0,0,8/22/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,203,2,GA06G,Grn control,105,13,0,0,0,9/4/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,203,2,GA06G,Grn control,119,14,0,0,0,9/18/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,204,2,GA06G,Grn1,44,44,10,10,10,7/5/2019,15,15,15,10,10,10,0.227272727,0.227272727,
Live Oak,30.306,-82.901,2019,204,2,GA06G,Grn1,49,5,10,10,20,7/10/2019,10,10,25,5,5,15,2,1,
Live Oak,30.306,-82.901,2019,204,2,GA06G,Grn1,63,14,80,60,80,7/24/2019,80,60,85,70,60,75,4.285714286,4.285714286,
Live Oak,30.306,-82.901,2019,204,2,GA06G,Grn1,79,16,20,5,85,8/9/2019,90,10,95,90,20,95,0.3125,1.25,
Live Oak,30.306,-82.901,2019,204,2,GA06G,Grn1,92,13,0,0,85,8/22/2019,45,0,95,45,0,95,0,0,
Live Oak,30.306,-82.901,2019,204,2,GA06G,Grn1,105,13,20,0,85,9/4/2019,45,0,95,45,0,95,0,0,
Live Oak,30.306,-82.901,2019,204,2,GA06G,Grn1,119,14,0,0,85,9/18/2019,15,0,95,15,0,95,0,0,
Live Oak,30.306,-82.901,2019,205,2,GA06G,Scl1,44,44,0,0,0,7/5/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,205,2,GA06G,Scl1,49,5,10,10,10,7/10/2019,10,10,10,0,0,0,2,0,
Live Oak,30.306,-82.901,2019,205,2,GA06G,Scl1,63,14,85,75,85,7/24/2019,85,75,85,75,75,75,5.357142857,5.357142857,
Live Oak,30.306,-82.901,2019,205,2,GA06G,Scl1,79,16,75,5,90,8/9/2019,85,5,90,85,15,90,0.3125,0.9375,
Live Oak,30.306,-82.901,2019,205,2,GA06G,Scl1,92,13,0,0,90,8/22/2019,25,0,90,25,0,90,0,0,
Live Oak,30.306,-82.901,2019,205,2,GA06G,Scl1,105,13,15,0,90,9/4/2019,30,0,90,30,0,90,0,0,
Live Oak,30.306,-82.901,2019,205,2,GA06G,Scl1,119,14,5,0,90,9/18/2019,25,0,90,25,0,90,0,0,
Live Oak,30.306,-82.901,2019,206,2,GA06G,Grn2,44,44,5,5,5,7/5/2019,5,5,5,0,0,0,0.113636364,0,
Live Oak,30.306,-82.901,2019,206,2,GA06G,Grn2,49,5,5,5,10,7/10/2019,10,10,15,10,10,10,1,2,
Live Oak,30.306,-82.901,2019,206,2,GA06G,Grn2,63,14,40,30,40,7/24/2019,40,25,40,40,30,40,2.142857143,2.142857143,
Live Oak,30.306,-82.901,2019,206,2,GA06G,Grn2,79,16,65,35,75,8/9/2019,90,50,90,90,50,90,2.1875,3.125,
Live Oak,30.306,-82.901,2019,206,2,GA06G,Grn2,92,13,0,0,75,8/22/2019,50,0,90,50,0,90,0,0,
Live Oak,30.306,-82.901,2019,206,2,GA06G,Grn2,105,13,20,0,75,9/4/2019,70,0,90,65,0,90,0,0,
Live Oak,30.306,-82.901,2019,206,2,GA06G,Grn2,119,14,10,5,80,9/18/2019,65,10,100,65,10,100,0.357142857,0.714285714,
Live Oak,30.306,-82.901,2019,207,2,GA06G,Scl3,44,44,0,0,0,7/5/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,207,2,GA06G,Scl3,49,5,5,5,5,7/10/2019,5,5,5,0,0,0,1,0,
Live Oak,30.306,-82.901,2019,207,2,GA06G,Scl3,63,14,0,0,5,7/24/2019,0,0,5,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,207,2,GA06G,Scl3,79,16,0,0,5,8/9/2019,0,0,5,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,207,2,GA06G,Scl3,92,13,0,0,5,8/22/2019,15,15,20,15,15,15,0,1.153846154,
Live Oak,30.306,-82.901,2019,207,2,GA06G,Scl3,105,13,10,10,15,9/4/2019,20,10,30,20,10,25,0.769230769,0.769230769,
Live Oak,30.306,-82.901,2019,207,2,GA06G,Scl3,119,14,0,0,15,9/18/2019,0,0,30,0,0,25,0,0,
Live Oak,30.306,-82.901,2019,208,2,GA06G,Scl2,44,44,0,0,0,7/5/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,208,2,GA06G,Scl2,49,5,0,0,0,7/10/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,208,2,GA06G,Scl2,63,14,30,30,30,7/24/2019,30,30,30,10,10,10,2.142857143,0.714285714,
Live Oak,30.306,-82.901,2019,208,2,GA06G,Scl2,79,16,0,0,30,8/9/2019,0,0,30,0,0,10,0,0,
Live Oak,30.306,-82.901,2019,208,2,GA06G,Scl2,92,13,0,0,30,8/22/2019,0,0,30,0,0,10,0,0,
Live Oak,30.306,-82.901,2019,208,2,GA06G,Scl2,105,13,5,0,30,9/4/2019,5,0,30,5,0,10,0,0,
Live Oak,30.306,-82.901,2019,208,2,GA06G,Scl2,119,14,5,5,35,9/18/2019,5,5,35,5,5,15,0.357142857,0.357142857,
Live Oak,30.306,-82.901,2019,209,2,TUF297,Grn1,44,44,0,0,0,7/5/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,209,2,TUF297,Grn1,49,5,20,20,20,7/10/2019,20,20,20,0,0,0,4,0,
Live Oak,30.306,-82.901,2019,209,2,TUF297,Grn1,63,14,40,30,50,7/24/2019,40,30,50,15,15,15,2.142857143,1.071428571,
Live Oak,30.306,-82.901,2019,209,2,TUF297,Grn1,79,16,50,20,70,8/9/2019,0,0,50,0,0,15,1.25,0,
Live Oak,30.306,-82.901,2019,209,2,TUF297,Grn1,92,13,5,5,75,8/22/2019,0,0,50,0,0,15,0.384615385,0,
Live Oak,30.306,-82.901,2019,209,2,TUF297,Grn1,105,13,5,0,75,9/4/2019,40,15,65,35,30,45,0,2.307692308,
Live Oak,30.306,-82.901,2019,209,2,TUF297,Grn1,119,14,20,0,75,9/18/2019,45,10,75,45,15,60,0,1.071428571,
Live Oak,30.306,-82.901,2019,210,2,TUF297,Scl3,44,44,0,0,0,7/5/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,210,2,TUF297,Scl3,49,5,0,0,0,7/10/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,210,2,TUF297,Scl3,63,14,0,0,0,7/24/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,210,2,TUF297,Scl3,79,16,0,0,0,8/9/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,210,2,TUF297,Scl3,92,13,0,0,0,8/22/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,210,2,TUF297,Scl3,105,13,0,0,0,9/4/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,210,2,TUF297,Scl3,119,14,0,0,0,9/18/2019,10,10,10,10,10,10,0,0.714285714,
Live Oak,30.306,-82.901,2019,211,2,TUF297,Grn2,44,44,15,15,15,7/5/2019,15,15,15,0,0,0,0.340909091,0,
Live Oak,30.306,-82.901,2019,211,2,TUF297,Grn2,49,5,5,5,20,7/10/2019,5,5,20,0,0,0,1,0,
Live Oak,30.306,-82.901,2019,211,2,TUF297,Grn2,63,14,30,25,45,7/24/2019,30,25,45,30,30,30,1.785714286,2.142857143,
Live Oak,30.306,-82.901,2019,211,2,TUF297,Grn2,79,16,25,15,60,8/9/2019,0,0,45,0,0,30,0.9375,0,
Live Oak,30.306,-82.901,2019,211,2,TUF297,Grn2,92,13,0,0,60,8/22/2019,20,10,55,20,15,45,0,1.153846154,
Live Oak,30.306,-82.901,2019,211,2,TUF297,Grn2,105,13,0,0,60,9/4/2019,50,15,70,50,20,65,0,1.538461538,
Live Oak,30.306,-82.901,2019,211,2,TUF297,Grn2,119,14,0,0,60,9/18/2019,60,20,90,60,20,85,0,1.428571429,
Live Oak,30.306,-82.901,2019,212,2,TUF297,Scl1,44,44,0,0,0,7/5/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,212,2,TUF297,Scl1,49,5,0,0,0,7/10/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,212,2,TUF297,Scl1,63,14,60,60,60,7/24/2019,60,60,60,20,20,20,4.285714286,1.428571429,
Live Oak,30.306,-82.901,2019,212,2,TUF297,Scl1,79,16,0,0,60,8/9/2019,0,0,60,0,0,20,0,0,
Live Oak,30.306,-82.901,2019,212,2,TUF297,Scl1,92,13,0,0,60,8/22/2019,0,0,60,0,0,20,0,0,
Live Oak,30.306,-82.901,2019,212,2,TUF297,Scl1,105,13,5,0,60,9/4/2019,10,5,65,5,5,25,0,0.384615385,
Live Oak,30.306,-82.901,2019,212,2,TUF297,Scl1,119,14,20,10,70,9/18/2019,45,20,85,45,40,65,0.714285714,2.857142857,
Live Oak,30.306,-82.901,2019,213,2,TUF297,Grn control,44,44,0,0,0,7/5/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,213,2,TUF297,Grn control,49,5,0,0,0,7/10/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,213,2,TUF297,Grn control,63,14,0,0,0,7/24/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,213,2,TUF297,Grn control,79,16,0,0,0,8/9/2019,0,0,0,0,0,0,0,0,
Live Oak,30.306,-82.901,2019,213,2,TUF297,Grn control,92,13,0,0,0,8/22/2019,20,20,20,20,20,20,0,1.538461538,
Live Oak,30.306,-82.901,2019,213,2,TUF297,Grn control,105,13,0,0,0,9/4/2019,0,0,20,0,0,20,0,0,
