Location,lat,long,year,plot,block,variety,inoculum,dap,incidence,new_incidence,cumulative_incidence,date,can_cover
Live Oak,30.306,-82.901,2019,411,4,GA06G,Scl1,44,0,0,0,7/5/2019,
Live Oak,30.306,-82.901,2019,411,4,GA06G,Scl1,49,0,0,0,7/10/2019,
Live Oak,30.306,-82.901,2019,411,4,GA06G,Scl1,63,65,65,65,7/24/2019,
Live Oak,30.306,-82.901,2019,411,4,GA06G,Scl1,79,55,30,95,8/9/2019,
Live Oak,30.306,-82.901,2019,411,4,GA06G,Scl1,92,0,0,95,8/22/2019,
Live Oak,30.306,-82.901,2019,411,4,GA06G,Scl1,105,0,0,95,9/4/2019,
Live Oak,30.306,-82.901,2019,411,4,GA06G,Scl1,119,0,0,95,9/18/2019,
Live Oak,30.306,-82.901,2020,116,1,GA06G,Scl1,54,0,0,0,7/8/2020,50
Live Oak,30.306,-82.901,2020,116,1,GA06G,Scl1,68,5,5,5,7/22/2020,85.52631579
Live Oak,30.306,-82.901,2020,116,1,GA06G,Scl1,82,60,60,65,8/5/2020,97
Live Oak,30.306,-82.901,2020,116,1,GA06G,Scl1,96,10,5,70,8/19/2020,100
Live Oak,30.306,-82.901,2020,116,1,GA06G,Scl1,110,25,10,80,9/2/2020,100
Live Oak,30.306,-82.901,2020,116,1,GA06G,Scl1,130,0,0,80,9/22/2020,100
Live Oak,30.306,-82.901,2020,213,2,GA06G,Scl1,54,0,0,0,7/8/2020,52.63157895
Live Oak,30.306,-82.901,2020,213,2,GA06G,Scl1,68,10,10,10,7/22/2020,79.60526316
Live Oak,30.306,-82.901,2020,213,2,GA06G,Scl1,82,55,45,55,8/5/2020,99
Live Oak,30.306,-82.901,2020,213,2,GA06G,Scl1,96,20,10,65,8/19/2020,100
Live Oak,30.306,-82.901,2020,213,2,GA06G,Scl1,110,10,0,65,9/2/2020,100
Live Oak,30.306,-82.901,2020,213,2,GA06G,Scl1,130,0,0,65,9/22/2020,100
Live Oak,30.306,-82.901,2020,311,3,GA06G,Scl1,54,0,0,0,7/8/2020,59.86842105
Live Oak,30.306,-82.901,2020,311,3,GA06G,Scl1,68,15,15,15,7/22/2020,84.86842105
Live Oak,30.306,-82.901,2020,311,3,GA06G,Scl1,82,45,40,55,8/5/2020,98
Live Oak,30.306,-82.901,2020,311,3,GA06G,Scl1,96,30,5,60,8/19/2020,100
Live Oak,30.306,-82.901,2020,311,3,GA06G,Scl1,110,15,5,65,9/2/2020,100
Live Oak,30.306,-82.901,2020,311,3,GA06G,Scl1,130,0,0,65,9/22/2020,100
Live Oak,30.306,-82.901,2020,405,4,GA06G,Scl1,54,0,0,0,7/8/2020,56.57894737
Live Oak,30.306,-82.901,2020,405,4,GA06G,Scl1,68,5,5,5,7/22/2020,80.92105263
Live Oak,30.306,-82.901,2020,405,4,GA06G,Scl1,82,20,15,20,8/5/2020,98
Live Oak,30.306,-82.901,2020,405,4,GA06G,Scl1,96,25,20,40,8/19/2020,100
Live Oak,30.306,-82.901,2020,405,4,GA06G,Scl1,110,10,5,45,9/2/2020,100
Live Oak,30.306,-82.901,2020,405,4,GA06G,Scl1,130,0,0,45,9/22/2020,100
Marianna,30.857,-85.168,2019,115,1,GA06G,Scl1,42,0,0,0,7/3/2019,
Marianna,30.857,-85.168,2019,115,1,GA06G,Scl1,51,0,0,0,7/12/2019,
Marianna,30.857,-85.168,2019,115,1,GA06G,Scl1,63,0,0,0,7/24/2019,
Marianna,30.857,-85.168,2019,115,1,GA06G,Scl1,78,5,5,5,8/8/2019,
Marianna,30.857,-85.168,2019,115,1,GA06G,Scl1,93,50,50,55,8/23/2019,
Marianna,30.857,-85.168,2019,115,1,GA06G,Scl1,106,35,15,70,9/5/2019,
Marianna,30.857,-85.168,2019,115,1,GA06G,Scl1,121,20,15,85,9/20/2019,
Marianna,30.857,-85.168,2019,115,1,GA06G,Scl1,133,5,0,85,10/2/2019,
Marianna,30.857,-85.168,2019,207,2,GA06G,Scl1,42,0,0,0,7/3/2019,
Marianna,30.857,-85.168,2019,207,2,GA06G,Scl1,51,5,5,5,7/12/2019,
Marianna,30.857,-85.168,2019,207,2,GA06G,Scl1,63,10,10,15,7/24/2019,
Marianna,30.857,-85.168,2019,207,2,GA06G,Scl1,78,10,10,25,8/8/2019,
Marianna,30.857,-85.168,2019,207,2,GA06G,Scl1,93,45,30,55,8/23/2019,
Marianna,30.857,-85.168,2019,207,2,GA06G,Scl1,106,5,0,55,9/5/2019,
Marianna,30.857,-85.168,2019,207,2,GA06G,Scl1,121,5,0,55,9/20/2019,
Marianna,30.857,-85.168,2019,207,2,GA06G,Scl1,133,10,10,65,10/2/2019,
Marianna,30.857,-85.168,2019,305,3,GA06G,Scl1,42,0,0,0,7/3/2019,
Marianna,30.857,-85.168,2019,305,3,GA06G,Scl1,51,0,0,0,7/12/2019,
Marianna,30.857,-85.168,2019,305,3,GA06G,Scl1,63,60,60,60,7/24/2019,
Marianna,30.857,-85.168,2019,305,3,GA06G,Scl1,78,0,0,60,8/8/2019,
Marianna,30.857,-85.168,2019,305,3,GA06G,Scl1,93,15,0,60,8/23/2019,
Marianna,30.857,-85.168,2019,305,3,GA06G,Scl1,106,15,5,65,9/5/2019,
Marianna,30.857,-85.168,2019,305,3,GA06G,Scl1,121,0,0,65,9/20/2019,
Marianna,30.857,-85.168,2019,305,3,GA06G,Scl1,133,5,0,65,10/2/2019,
Marianna,30.857,-85.168,2019,409,4,GA06G,Scl1,42,0,0,0,7/3/2019,
Marianna,30.857,-85.168,2019,409,4,GA06G,Scl1,51,0,0,0,7/12/2019,
Marianna,30.857,-85.168,2019,409,4,GA06G,Scl1,63,20,20,20,7/24/2019,
Marianna,30.857,-85.168,2019,409,4,GA06G,Scl1,78,0,0,20,8/8/2019,
Marianna,30.857,-85.168,2019,409,4,GA06G,Scl1,93,20,0,20,8/23/2019,
Marianna,30.857,-85.168,2019,409,4,GA06G,Scl1,106,20,15,35,9/5/2019,
Marianna,30.857,-85.168,2019,409,4,GA06G,Scl1,121,0,0,35,9/20/2019,
Marianna,30.857,-85.168,2019,409,4,GA06G,Scl1,133,5,5,40,10/2/2019,
Marianna,30.857,-85.168,2020,110,4,GA06G,Scl1,44,0,0,0,7/9/2020,40.10989011
Marianna,30.857,-85.168,2020,110,4,GA06G,Scl1,59,0,0,0,7/24/2020,73.07692308
Marianna,30.857,-85.168,2020,110,4,GA06G,Scl1,73,5,5,5,8/7/2020,98
Marianna,30.857,-85.168,2020,110,4,GA06G,Scl1,87,15,15,20,8/21/2020,100
Marianna,30.857,-85.168,2020,110,4,GA06G,Scl1,101,0,0,20,9/4/2020,100
Marianna,30.857,-85.168,2020,110,4,GA06G,Scl1,146,0,0,20,10/19/2020,100
Marianna,30.857,-85.168,2020,208,1,GA06G,Scl1,44,5,5,5,7/9/2020,47.25274725
Marianna,30.857,-85.168,2020,208,1,GA06G,Scl1,59,0,0,5,7/24/2020,75.82417582
Marianna,30.857,-85.168,2020,208,1,GA06G,Scl1,73,0,0,5,8/7/2020,97
Marianna,30.857,-85.168,2020,208,1,GA06G,Scl1,87,5,5,10,8/21/2020,100
Marianna,30.857,-85.168,2020,208,1,GA06G,Scl1,101,0,0,10,9/4/2020,100
Marianna,30.857,-85.168,2020,208,1,GA06G,Scl1,146,0,0,10,10/19/2020,100
Marianna,30.857,-85.168,2020,307,3,GA06G,Scl1,44,0,0,0,7/9/2020,57.14285714
Marianna,30.857,-85.168,2020,307,3,GA06G,Scl1,59,5,5,5,7/24/2020,93.95604396
Marianna,30.857,-85.168,2020,307,3,GA06G,Scl1,73,10,5,10,8/7/2020,97
Marianna,30.857,-85.168,2020,307,3,GA06G,Scl1,87,10,5,15,8/21/2020,100
Marianna,30.857,-85.168,2020,307,3,GA06G,Scl1,101,0,0,15,9/4/2020,100
Marianna,30.857,-85.168,2020,307,3,GA06G,Scl1,146,0,0,15,10/19/2020,100
Marianna,30.857,-85.168,2020,411,2,GA06G,Scl1,44,0,0,0,7/9/2020,39.56043956
Marianna,30.857,-85.168,2020,411,2,GA06G,Scl1,59,0,0,0,7/24/2020,74.17582418
Marianna,30.857,-85.168,2020,411,2,GA06G,Scl1,73,5,5,5,8/7/2020,97
Marianna,30.857,-85.168,2020,411,2,GA06G,Scl1,87,25,25,30,8/21/2020,100
Marianna,30.857,-85.168,2020,411,3,GA06G,Scl1,101,0,0,30,9/4/2020,100
Marianna,30.857,-85.168,2020,411,3,GA06G,Scl1,146,0,0,30,10/19/2020,100
Quincy,30.54,-84.583,2019,107,1,GA06G,Scl1,48,0,0,0,7/3/2019,
Quincy,30.54,-84.583,2019,107,1,GA06G,Scl1,56,0,0,0,7/11/2019,
Quincy,30.54,-84.583,2019,107,1,GA06G,Scl1,92,25,25,25,8/16/2019,
Quincy,30.54,-84.583,2019,107,1,GA06G,Scl1,113,0,0,25,9/6/2019,
Quincy,30.54,-84.583,2019,107,1,GA06G,Scl1,126,0,0,25,9/19/2019,
Quincy,30.54,-84.583,2019,107,1,GA06G,Scl1,138,0,0,25,10/1/2019,
Quincy,30.54,-84.583,2019,220,2,GA06G,Scl1,48,0,0,0,7/3/2019,
Quincy,30.54,-84.583,2019,220,2,GA06G,Scl1,56,0,0,0,7/11/2019,
Quincy,30.54,-84.583,2019,220,2,GA06G,Scl1,92,10,10,10,8/16/2019,
Quincy,30.54,-84.583,2019,220,2,GA06G,Scl1,113,0,0,10,9/6/2019,
Quincy,30.54,-84.583,2019,220,2,GA06G,Scl1,126,0,0,10,9/19/2019,
Quincy,30.54,-84.583,2019,220,2,GA06G,Scl1,138,0,0,10,10/1/2019,
Quincy,30.54,-84.583,2019,316,3,GA06G,Scl1,48,0,0,0,7/3/2019,
Quincy,30.54,-84.583,2019,316,3,GA06G,Scl1,56,0,0,0,7/11/2019,
Quincy,30.54,-84.583,2019,316,3,GA06G,Scl1,92,10,10,10,8/16/2019,
Quincy,30.54,-84.583,2019,316,3,GA06G,Scl1,113,0,0,10,9/6/2019,
Quincy,30.54,-84.583,2019,316,3,GA06G,Scl1,126,0,0,10,9/19/2019,
Quincy,30.54,-84.583,2019,316,3,GA06G,Scl1,138,0,0,10,10/1/2019,
Quincy,30.54,-84.583,2019,405,4,GA06G,Scl1,48,0,0,0,7/3/2019,
Quincy,30.54,-84.583,2019,405,4,GA06G,Scl1,56,0,0,0,7/11/2019,
Quincy,30.54,-84.583,2019,405,4,GA06G,Scl1,92,5,5,5,8/16/2019,
Quincy,30.54,-84.583,2019,405,4,GA06G,Scl1,113,0,0,5,9/6/2019,
Quincy,30.54,-84.583,2019,405,4,GA06G,Scl1,126,0,0,5,9/19/2019,
Quincy,30.54,-84.583,2019,405,4,GA06G,Scl1,138,0,0,5,10/1/2019,
Quincy,30.54,-84.583,2020,116,1,GA06G,Scl1,58,0,0,0,7/12/2020,51.64835165
Quincy,30.54,-84.583,2020,116,1,GA06G,Scl1,69,0,0,0,7/23/2020,65.93406593
Quincy,30.54,-84.583,2020,116,1,GA06G,Scl1,83,5,5,5,8/6/2020,84.06593407
Quincy,30.54,-84.583,2020,116,1,GA06G,Scl1,97,40,40,45,8/20/2020,100
Quincy,30.54,-84.583,2020,116,1,GA06G,Scl1,111,5,5,50,9/3/2020,100
Quincy,30.54,-84.583,2020,116,1,GA06G,Scl1,129,0,0,50,9/21/2020,100
Quincy,30.54,-84.583,2020,203,2,GA06G,Scl1,58,5,5,5,7/12/2020,60.98901099
Quincy,30.54,-84.583,2020,203,2,GA06G,Scl1,69,5,5,10,7/23/2020,79.67032967
Quincy,30.54,-84.583,2020,203,2,GA06G,Scl1,83,25,25,35,8/6/2020,98.9010989
Quincy,30.54,-84.583,2020,203,2,GA06G,Scl1,97,65,45,80,8/20/2020,100
Quincy,30.54,-84.583,2020,203,2,GA06G,Scl1,111,5,5,85,9/3/2020,100
Quincy,30.54,-84.583,2020,203,2,GA06G,Scl1,129,0,0,85,9/21/2020,100
Quincy,30.54,-84.583,2020,305,3,GA06G,Scl1,58,20,20,20,7/12/2020,71.97802198
Quincy,30.54,-84.583,2020,305,3,GA06G,Scl1,69,5,5,25,7/23/2020,83.51648352
Quincy,30.54,-84.583,2020,305,3,GA06G,Scl1,83,15,10,35,8/6/2020,100
Quincy,30.54,-84.583,2020,305,3,GA06G,Scl1,97,70,40,75,8/20/2020,100
Quincy,30.54,-84.583,2020,305,3,GA06G,Scl1,111,0,0,75,9/3/2020,100
Quincy,30.54,-84.583,2020,305,3,GA06G,Scl1,129,0,0,75,9/21/2020,100
Quincy,30.54,-84.583,2020,416,4,GA06G,Scl1,58,0,0,0,7/12/2020,73.07692308
Quincy,30.54,-84.583,2020,416,4,GA06G,Scl1,69,5,5,5,7/23/2020,86.81318681
Quincy,30.54,-84.583,2020,416,4,GA06G,Scl1,83,0,0,5,8/6/2020,100
Quincy,30.54,-84.583,2020,416,4,GA06G,Scl1,97,15,15,20,8/20/2020,100
Quincy,30.54,-84.583,2020,416,4,GA06G,Scl1,111,0,0,20,9/3/2020,100
Quincy,30.54,-84.583,2020,416,4,GA06G,Scl1,129,0,0,20,9/21/2020,100
